time , step-size , {x1}.controller.valve , {x2}.tank.level
0.0 , 0.0 , false , 0.0
0.1 , 0.1 , false , 0.1099999999999999
0.2 , 0.1 , true , 0.19999999999999996
0.30000000000000004 , 0.1 , true , 0.2744146317474287
0.4 , 0.1 , true , 0.3408186835271865
0.5 , 0.1 , true , 0.40036521660399377
0.6 , 0.1 , true , 0.45376240407122237
0.7 , 0.1 , true , 0.5016452862825613
0.7999999999999999 , 0.1 , true , 0.54458332323951
0.8999999999999999 , 0.1 , true , 0.5830871670469672
0.9999999999999999 , 0.1 , true , 0.6176147349801618
1.0999999999999999 , 0.1 , true , 0.6485766553884951
1.2 , 0.1 , true , 0.6763411512031658
1.3 , 0.1 , true , 0.7012384191270059
1.4000000000000001 , 0.1 , true , 0.7235645565872053
1.5000000000000002 , 0.1 , true , 0.7435850831532719
1.6000000000000003 , 0.1 , true , 0.7615380982996274
1.7000000000000004 , 0.1 , true , 0.7776371130673793
1.8000000000000005 , 0.1 , true , 0.7920735893015626
1.9000000000000006 , 0.1 , true , 0.8050192166624126
2.0000000000000004 , 0.1 , true , 0.8166279544906342
2.1000000000000005 , 0.1 , true , 0.8280177997468731
2.2000000000000006 , 0.1 , true , 0.8372514835020974
2.3000000000000007 , 0.1 , true , 0.8455316085910737
2.400000000000001 , 0.1 , true , 0.8529566486191449
2.500000000000001 , 0.1 , true , 0.8596149078635446
2.600000000000001 , 0.1 , true , 0.8655855714556638
2.700000000000001 , 0.1 , true , 0.8709396471114353
2.800000000000001 , 0.1 , true , 0.8757408096096149
2.9000000000000012 , 0.1 , true , 0.8800461580611401
